pfa_target,threshold,pd,empirical_pfa,target_count,bg_count,method,subset,path,image_index,has_target,step,split
0.001,9.29327975548219,,0.001007080078125,0,65536,low_rank_residual,simWind,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simWind\simWind_sample.mat,1,False,0,val
0.003,6.749032386298453,,0.0030059814453125,0,65536,low_rank_residual,simWind,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simWind\simWind_sample.mat,1,False,0,val
0.01,4.61681643849546,,0.010009765625,0,65536,low_rank_residual,simWind,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simWind\simWind_sample.mat,1,False,0,val
1e-05,649.87319995421,,1.52587890625e-05,0,65536,trainable_gate,simWind,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simWind\simWind_sample.mat,1,False,0,val
3e-05,586.7020781341769,,3.0517578125e-05,0,65536,trainable_gate,simWind,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simWind\simWind_sample.mat,1,False,0,val
0.0001,392.139757797056,,0.0001068115234375,0,65536,trainable_gate,simWind,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simWind\simWind_sample.mat,1,False,0,val
0.0003,293.34348220214457,,0.00030517578125,0,65536,trainable_gate,simWind,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simWind\simWind_sample.mat,1,False,0,val
0.001,199.16866300960203,,0.001007080078125,0,65536,trainable_gate,simWind,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simWind\simWind_sample.mat,1,False,0,val
0.003,123.47237991538714,,0.0030059814453125,0,65536,trainable_gate,simWind,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simWind\simWind_sample.mat,1,False,0,val
0.01,64.44878988752757,,0.010009765625,0,65536,trainable_gate,simWind,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simWind\simWind_sample.mat,1,False,0,val
1e-05,11124.174632589524,0.023255813953488372,1.526880735345762e-05,43,65493,raw,simMed,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0,True,50,train
3e-05,9655.504170691933,0.046511627906976744,3.053761470691524e-05,43,65493,raw,simMed,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0,True,50,train
0.0001,7458.75823650836,0.09302325581395349,0.00010688165147420336,43,65493,raw,simMed,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0,True,50,train
0.0003,5149.309725533863,0.11627906976744186,0.00030537614706915243,43,65493,raw,simMed,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0,True,50,train
0.001,3601.5911821606123,0.23255813953488372,0.001007741285328203,43,65493,raw,simMed,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0,True,50,train
0.003,2386.8852097332096,0.32558139534883723,0.0030079550486311513,43,65493,raw,simMed,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0,True,50,train
0.01,1286.4468520244625,0.46511627906976744,0.010001068816514741,43,65493,raw,simMed,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0,True,50,train
1e-05,802.846272662242,0.13953488372093023,1.526880735345762e-05,43,65493,low_rank_residual,simMed,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0,True,50,train
3e-05,686.1564991900859,0.16279069767441862,3.053761470691524e-05,43,65493,low_rank_residual,simMed,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0,True,50,train
0.0001,394.85698953163865,0.23255813953488372,0.00010688165147420336,43,65493,low_rank_residual,simMed,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0,True,50,train
0.0003,167.6233668881951,0.46511627906976744,0.00030537614706915243,43,65493,low_rank_residual,simMed,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0,True,50,train
0.001,70.78746984367343,0.7674418604651163,0.001007741285328203,43,65493,low_rank_residual,simMed,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0,True,50,train
0.003,25.740363614672184,0.9534883720930233,0.0030079550486311513,43,65493,low_rank_residual,simMed,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0,True,50,train
0.01,13.508083448682333,0.9534883720930233,0.010001068816514741,43,65493,low_rank_residual,simMed,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0,True,50,train
1e-05,8262.708056272113,0.046511627906976744,1.526880735345762e-05,43,65493,trainable_gate,simMed,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0,True,50,train
3e-05,5821.082104002292,0.11627906976744186,3.053761470691524e-05,43,65493,trainable_gate,simMed,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0,True,50,train
0.0001,3611.445712756137,0.23255813953488372,0.00010688165147420336,43,65493,trainable_gate,simMed,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0,True,50,train
0.0003,1566.4430288176295,0.37209302325581395,0.00030537614706915243,43,65493,trainable_gate,simMed,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0,True,50,train
0.001,374.1208792689857,0.7441860465116279,0.001007741285328203,43,65493,trainable_gate,simMed,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0,True,50,train
0.003,54.939686812146256,1.0,0.0030079550486311513,43,65493,trainable_gate,simMed,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0,True,50,train
0.01,15.210476739122191,1.0,0.010001068816514741,43,65493,trainable_gate,simMed,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0,True,50,train
1e-05,6187.384051825041,,1.52587890625e-05,0,65536,raw,simMed,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,1,False,50,train
3e-05,5419.413788343435,,3.0517578125e-05,0,65536,raw,simMed,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,1,False,50,train
0.0001,3271.518491071117,,0.0001068115234375,0,65536,raw,simMed,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,1,False,50,train
0.0003,2632.724739434376,,0.00030517578125,0,65536,raw,simMed,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,1,False,50,train
0.001,1639.7416000974783,,0.001007080078125,0,65536,raw,simMed,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,1,False,50,train
0.003,962.8284378031237,,0.0030059814453125,0,65536,raw,simMed,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,1,False,50,train
0.01,475.0249748693414,,0.010009765625,0,65536,raw,simMed,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,1,False,50,train
1e-05,29.045922893646434,,1.52587890625e-05,0,65536,low_rank_residual,simMed,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,1,False,50,train
3e-05,23.278189253380425,,3.0517578125e-05,0,65536,low_rank_residual,simMed,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,1,False,50,train
0.0001,15.521395621170964,,0.0001068115234375,0,65536,low_rank_residual,simMed,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,1,False,50,train
0.0003,12.283324911414693,,0.00030517578125,0,65536,low_rank_residual,simMed,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,1,False,50,train
0.001,8.10177868611796,,0.001007080078125,0,65536,low_rank_residual,simMed,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,1,False,50,train
0.003,5.413850171893534,,0.0030059814453125,0,65536,low_rank_residual,simMed,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,1,False,50,train
0.01,3.6894962385577634,,0.010009765625,0,65536,low_rank_residual,simMed,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,1,False,50,train
1e-05,1033.4845712656142,,1.52587890625e-05,0,65536,trainable_gate,simMed,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,1,False,50,train
3e-05,494.60133577696354,,3.0517578125e-05,0,65536,trainable_gate,simMed,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,1,False,50,train
0.0001,163.31692245161204,,0.0001068115234375,0,65536,trainable_gate,simMed,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,1,False,50,train
0.0003,43.47878846814432,,0.00030517578125,0,65536,trainable_gate,simMed,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,1,False,50,train
0.001,13.093479438139344,,0.001007080078125,0,65536,trainable_gate,simMed,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,1,False,50,train
0.003,6.349472215261278,,0.0030059814453125,0,65536,trainable_gate,simMed,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,1,False,50,train
0.01,3.9343422225482283,,0.010009765625,0,65536,trainable_gate,simMed,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,1,False,50,train
1e-05,8474.764966781358,0.046511627906976744,1.526880735345762e-05,43,65493,raw,simNoiseOnly,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat,0,True,50,train
3e-05,5824.701700123973,0.11627906976744186,3.053761470691524e-05,43,65493,raw,simNoiseOnly,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat,0,True,50,train
0.0001,4062.447136381865,0.20930232558139536,0.00010688165147420336,43,65493,raw,simNoiseOnly,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat,0,True,50,train
0.0003,1995.805114911917,0.3488372093023256,0.00030537614706915243,43,65493,raw,simNoiseOnly,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat,0,True,50,train
0.001,407.8287507111117,0.7674418604651163,0.001007741285328203,43,65493,raw,simNoiseOnly,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat,0,True,50,train
0.003,228.34277754247117,0.8372093023255814,0.0030079550486311513,43,65493,raw,simNoiseOnly,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat,0,True,50,train
0.01,192.21202920375154,0.8837209302325582,0.010001068816514741,43,65493,raw,simNoiseOnly,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat,0,True,50,train
1e-05,1028.6928358480818,0.16279069767441862,1.526880735345762e-05,43,65493,low_rank_residual,simNoiseOnly,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat,0,True,50,train
3e-05,931.7422928664663,0.23255813953488372,3.053761470691524e-05,43,65493,low_rank_residual,simNoiseOnly,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat,0,True,50,train
0.0001,554.3133995242562,0.4418604651162791,0.00010688165147420336,43,65493,low_rank_residual,simNoiseOnly,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat,0,True,50,train
0.0003,334.9241901382619,0.627906976744186,0.00030537614706915243,43,65493,low_rank_residual,simNoiseOnly,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat,0,True,50,train
0.001,190.93031744736606,0.7441860465116279,0.001007741285328203,43,65493,low_rank_residual,simNoiseOnly,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat,0,True,50,train
0.003,161.9569317024632,0.7906976744186046,0.0030079550486311513,43,65493,low_rank_residual,simNoiseOnly,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat,0,True,50,train
0.01,139.5562440306498,0.8604651162790697,0.010001068816514741,43,65493,low_rank_residual,simNoiseOnly,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat,0,True,50,train
1e-05,7627.70208073219,0.046511627906976744,1.526880735345762e-05,43,65493,trainable_gate,simNoiseOnly,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat,0,True,50,train
3e-05,3620.0465739128335,0.2558139534883721,3.053761470691524e-05,43,65493,trainable_gate,simNoiseOnly,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat,0,True,50,train
0.0001,2994.750499579925,0.2558139534883721,0.00010688165147420336,43,65493,trainable_gate,simNoiseOnly,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat,0,True,50,train
0.0003,1268.2719818597006,0.4418604651162791,0.00030537614706915243,43,65493,trainable_gate,simNoiseOnly,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat,0,True,50,train
0.001,206.60083395795658,0.7674418604651163,0.001007741285328203,43,65493,trainable_gate,simNoiseOnly,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat,0,True,50,train
0.003,164.89848401835962,0.813953488372093,0.0030079550486311513,43,65493,trainable_gate,simNoiseOnly,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat,0,True,50,train
0.01,140.79295010270434,0.8604651162790697,0.010001068816514741,43,65493,trainable_gate,simNoiseOnly,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat,0,True,50,train
1e-05,259.68703786207243,,1.52587890625e-05,0,65536,raw,simNoiseOnly,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat,1,False,50,train
3e-05,234.7134934433807,,3.0517578125e-05,0,65536,raw,simNoiseOnly,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat,1,False,50,train
0.0001,220.1215825700609,,0.0001068115234375,0,65536,raw,simNoiseOnly,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat,1,False,50,train
0.0003,210.58094298655067,,0.00030517578125,0,65536,raw,simNoiseOnly,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat,1,False,50,train
0.001,191.72700850747006,,0.001007080078125,0,65536,raw,simNoiseOnly,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat,1,False,50,train
0.003,172.2815167327679,,0.0030059814453125,0,65536,raw,simNoiseOnly,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat,1,False,50,train
0.01,151.71015514226332,,0.010009765625,0,65536,raw,simNoiseOnly,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat,1,False,50,train
1e-05,196.2050771222567,,1.52587890625e-05,0,65536,low_rank_residual,simNoiseOnly,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat,1,False,50,train
3e-05,175.75364543691603,,3.0517578125e-05,0,65536,low_rank_residual,simNoiseOnly,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat,1,False,50,train
0.0001,168.44955290492243,,0.0001068115234375,0,65536,low_rank_residual,simNoiseOnly,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat,1,False,50,train
0.0003,148.1668151278647,,0.00030517578125,0,65536,low_rank_residual,simNoiseOnly,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat,1,False,50,train
0.001,134.53460753633172,,0.001007080078125,0,65536,low_rank_residual,simNoiseOnly,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat,1,False,50,train
0.003,123.00839262883443,,0.0030059814453125,0,65536,low_rank_residual,simNoiseOnly,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat,1,False,50,train
0.01,108.92508865160114,,0.010009765625,0,65536,low_rank_residual,simNoiseOnly,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat,1,False,50,train
1e-05,196.5414221486639,,1.52587890625e-05,0,65536,trainable_gate,simNoiseOnly,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat,1,False,50,train
3e-05,183.29517569804725,,3.0517578125e-05,0,65536,trainable_gate,simNoiseOnly,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat,1,False,50,train
0.0001,172.9607886563585,,0.0001068115234375,0,65536,trainable_gate,simNoiseOnly,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat,1,False,50,train
0.0003,152.67779650970726,,0.00030517578125,0,65536,trainable_gate,simNoiseOnly,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat,1,False,50,train
0.001,135.7345094787826,,0.001007080078125,0,65536,trainable_gate,simNoiseOnly,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat,1,False,50,train
0.003,123.97771923990604,,0.0030059814453125,0,65536,trainable_gate,simNoiseOnly,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat,1,False,50,train
0.01,109.73693519454397,,0.010009765625,0,65536,trainable_gate,simNoiseOnly,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simNoiseOnly\simNoiseOnly_sample.mat,1,False,50,train
1e-05,8616.68416578504,0.046511627906976744,1.526880735345762e-05,43,65493,raw,simWind,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simWind\simWind_sample.mat,0,True,50,val
3e-05,6624.480152864272,0.09302325581395349,3.053761470691524e-05,43,65493,raw,simWind,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simWind\simWind_sample.mat,0,True,50,val
0.0001,6002.704428609053,0.09302325581395349,0.00010688165147420336,43,65493,raw,simWind,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simWind\simWind_sample.mat,0,True,50,val
0.0003,4167.557688596562,0.18604651162790697,0.00030537614706915243,43,65493,raw,simWind,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simWind\simWind_sample.mat,0,True,50,val
0.001,2664.77103568016,0.3023255813953488,0.001007741285328203,43,65493,raw,simWind,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simWind\simWind_sample.mat,0,True,50,val
0.003,1863.5932502080925,0.32558139534883723,0.0030079550486311513,43,65493,raw,simWind,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simWind\simWind_sample.mat,0,True,50,val
0.01,985.5013435885612,0.5348837209302325,0.010001068816514741,43,65493,raw,simWind,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simWind\simWind_sample.mat,0,True,50,val
1e-05,762.4651420941657,0.13953488372093023,1.526880735345762e-05,43,65493,low_rank_residual,simWind,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simWind\simWind_sample.mat,0,True,50,val
3e-05,675.8359899709218,0.13953488372093023,3.053761470691524e-05,43,65493,low_rank_residual,simWind,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simWind\simWind_sample.mat,0,True,50,val
0.0001,425.7774764075933,0.16279069767441862,0.00010688165147420336,43,65493,low_rank_residual,simWind,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simWind\simWind_sample.mat,0,True,50,val
0.0003,159.8331657518777,0.4883720930232558,0.00030537614706915243,43,65493,low_rank_residual,simWind,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simWind\simWind_sample.mat,0,True,50,val
0.001,62.542401908383525,0.813953488372093,0.001007741285328203,43,65493,low_rank_residual,simWind,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simWind\simWind_sample.mat,0,True,50,val
0.003,28.293707118562192,0.8837209302325582,0.0030079550486311513,43,65493,low_rank_residual,simWind,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simWind\simWind_sample.mat,0,True,50,val
0.01,17.423410147430893,0.9069767441860465,0.010001068816514741,43,65493,low_rank_residual,simWind,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simWind\simWind_sample.mat,0,True,50,val
1e-05,8280.731741990043,0.046511627906976744,1.526880735345762e-05,43,65493,trainable_gate,simWind,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simWind\simWind_sample.mat,0,True,50,val
3e-05,5850.784708135409,0.11627906976744186,3.053761470691524e-05,43,65493,trainable_gate,simWind,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simWind\simWind_sample.mat,0,True,50,val
0.0001,3599.3357927140873,0.23255813953488372,0.00010688165147420336,43,65493,trainable_gate,simWind,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simWind\simWind_sample.mat,0,True,50,val
0.0003,1616.3341372948605,0.3488372093023256,0.00030537614706915243,43,65493,trainable_gate,simWind,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simWind\simWind_sample.mat,0,True,50,val
0.001,310.14988023542764,0.7441860465116279,0.001007741285328203,43,65493,trainable_gate,simWind,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simWind\simWind_sample.mat,0,True,50,val
0.003,38.02500817541196,0.9534883720930233,0.0030079550486311513,43,65493,trainable_gate,simWind,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simWind\simWind_sample.mat,0,True,50,val
0.01,18.47517416965831,0.9767441860465116,0.010001068816514741,43,65493,trainable_gate,simWind,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simWind\simWind_sample.mat,0,True,50,val
1e-05,5622.384163866826,,1.52587890625e-05,0,65536,raw,simWind,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simWind\simWind_sample.mat,1,False,50,val
